name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
Kepler-1283 b,9532.0,15.269,Super Earth,2016,4.31,Earth,1.91,Earth,0.1062,0.035318274,0.0,Transit
Kepler-1284 b,2878.0,15.912,Super Earth,2016,1.92,Earth,1.21,Earth,0.0143,0.0019164955,0.0,Transit
Kepler-1285 b,1377.0,11.717,Terrestrial,2016,0.871,Earth,0.97,Earth,0.1268,0.04052019,0.0,Transit
Kepler-1286 b,4418.0,15.278,Neptune-like,2016,5.27,Earth,2.15,Earth,0.0991,0.030937715,0.0,Transit
Kepler-1287 b,3273.0,15.216,Super Earth,2016,2.99,Earth,1.54,Earth,0.0976,0.031485286,0.0,Transit
Kepler-1288 b,2656.0,13.199,Super Earth,2016,1.46,Earth,1.12,Earth,0.0435,0.007665982,0.0,Transit
Kepler-1289 b,3437.0,14.732,Super Earth,2016,2.92,Earth,1.52,Earth,0.0785,0.021902807,0.0,Transit
Kepler-128 b,1293.0,11.693,Super Earth,2013,0.77,Earth,1.43,Earth,0.1231,0.041341547,0.0,Transit
Kepler-128 c,1293.0,11.693,Super Earth,2013,0.9,Earth,1.34,Earth,0.1622,0.062422995,0.0,Transit
Kepler-1290 b,5199.0,15.871,Super Earth,2016,2.6,Earth,1.42,Earth,0.0557,0.012867898,0.0,Transit
Kepler-1291 b,2927.0,16.261,Super Earth,2016,3.39,Earth,1.66,Earth,0.0779,0.023545519,0.0,Transit
Kepler-1292 b,4872.0,16.337,Super Earth,2016,3.97,Earth,1.82,Earth,0.0443,0.009034907,0.0,Transit
Kepler-1293 b,3354.0,13.377,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0659,0.015331964,0.0,Transit
Kepler-1294 b,6053.0,15.361,Neptune-like,2016,10.3,Earth,0.285,Jupiter,0.4684,0.31676933,0.0,Transit
Kepler-1295 b,3831.0,16.227,Super Earth,2016,3.02,Earth,1.55,Earth,0.0464,0.010403832,0.0,Transit
Kepler-1296 b,5061.0,14.934,Terrestrial,2016,0.693,Earth,0.91,Earth,0.0896,0.022997946,0.0,Transit
Kepler-1297 b,4696.0,14.867,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0283,0.0046543465,0.0,Transit
Kepler-1298 b,1775.0,11.388,Super Earth,2016,2.27,Earth,1.31,Earth,0.082,0.01943874,0.0,Transit
Kepler-1299 b,4583.0,15.962,Neptune-like,2016,9.17,Earth,0.266,Jupiter,0.1357,0.05448323,0.0,Transit
Kepler-129 b,1334.0,11.809,Super Earth,2014,20.0,Earth,0.214,Jupiter,0.13,0.04325804,0.01,Transit
Kepler-129 c,1334.0,11.809,Gas Giant,2014,0.13529,Jupiter,0.225,Jupiter,0.39,0.22505133,0.2,Transit
Kepler-129 d,1334.0,11.809,Gas Giant,2021,8.3,Jupiter,1.12,Jupiter,4.0,7.2,0.15,Radial Velocity
Kepler-12 b,2875.0,13.468,Gas Giant,2011,0.432,Jupiter,1.754,Jupiter,0.0553,0.012046544,0.0,Transit
Kepler-1300 b,2535.0,12.861,Super Earth,2016,2.45,Earth,1.37,Earth,0.1655,0.06078029,0.0,Transit
Kepler-1301 b,2787.0,15.656,Super Earth,2016,2.54,Earth,1.4,Earth,0.0815,0.024914443,0.0,Transit
Kepler-1302 b,2070.0,15.172,Super Earth,2016,2.63,Earth,1.43,Earth,0.0795,0.024093088,0.0,Transit
Kepler-1303 b,2929.0,14.854,Super Earth,2016,2.6,Earth,1.42,Earth,0.0751,0.020807665,0.0,Transit
Kepler-1304 b,7098.0,15.408,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.1202,0.044079397,0.0,Transit
Kepler-1305 b,5138.0,15.834,Super Earth,2016,4.19,Earth,1.88,Earth,0.1109,0.037234772,0.0,Transit
Kepler-1306 b,3613.0,15.353,Super Earth,2016,4.31,Earth,1.91,Earth,0.123,0.044626966,0.0,Transit
Kepler-1307 b,3310.0,15.636,Neptune-like,2016,6.66,Earth,0.22,Jupiter,0.1369,0.049281314,0.0,Transit
Kepler-1308 b,368.0,16.4,Terrestrial,2016,0.0933,Earth,0.52,Earth,0.025,0.0057494864,0.0,Transit
Kepler-1309 b,2756.0,16.5119,Neptune-like,2016,6.21,Earth,0.211,Jupiter,0.1679,0.0788501,0.0,Transit
Kepler-130 b,1033.0,11.572,Super Earth,2014,1.04,Earth,1.02,Earth,0.079,0.023271732,0.15,Transit
Kepler-130 c,1033.0,11.572,Neptune-like,2014,8.75,Earth,0.259,Jupiter,0.178,0.075290896,0.0,Transit
Kepler-130 d,1033.0,11.572,Super Earth,2014,3.33,Earth,1.64,Earth,0.377,0.23956195,0.8,Transit
Kepler-1310 b,1857.0,14.346,Super Earth,2016,2.67,Earth,1.44,Earth,0.0148,0.0019164955,0.0,Transit
Kepler-1311 b,2826.0,13.528,Super Earth,2016,2.07,Earth,1.24,Earth,0.0989,0.030663928,0.0,Transit
Kepler-1311 c,2826.0,13.528,Super Earth,2016,1.98,Earth,1.22,Earth,0.0368,0.0068446267,0.0,Transit
Kepler-1311 d,2826.0,13.528,Gas Giant,2021,0.212,Jupiter,0.862,Jupiter,0.6711,0.5407255,0.0,Transit
Kepler-1312 b,976.0,12.491,Neptune-like,2016,5.06,Earth,2.1,Earth,0.0603,0.014784395,0.0,Transit
Kepler-1312 c,976.0,12.491,Super Earth,2021,1.07,Earth,1.027,Earth,0.0209,0.003011636,0.0,Transit
Kepler-1313 b,568.0,12.363,Super Earth,2016,3.75,Earth,1.76,Earth,0.046,0.010403832,0.0,Transit
Kepler-1314 b,463.0,17.816,Neptune-like,2016,22.9,Earth,0.456,Jupiter,0.0504,0.014784395,0.0,Transit
Kepler-1315 b,1569.0,15.133,Super Earth,2016,2.48,Earth,1.38,Earth,0.0163,0.0021902807,0.0,Transit
Kepler-1315 c,1569.0,15.133,Super Earth,2021,4.06,Earth,1.844,Earth,0.064,0.018069815,0.0,Transit
Kepler-1316 b,2612.0,14.119,Neptune-like,2016,12.3,Earth,0.316,Jupiter,0.3859,0.24093087,0.0,Transit
Kepler-1317 b,2376.0,15.083,Super Earth,2016,3.05,Earth,1.56,Earth,0.0128,0.0016427105,0.0,Transit
Kepler-1318 b,1550.0,15.531,Neptune-like,2016,9.85,Earth,0.277,Jupiter,0.6085,0.5839836,0.0,Transit
Kepler-1319 b,339.0,15.161,Super Earth,2016,2.36,Earth,1.34,Earth,0.0296,0.007939767,0.33,Transit
Kepler-131 b,746.0,11.493,Super Earth,2014,16.13,Earth,0.215,Jupiter,0.1238,0.044079397,0.0,Transit
Kepler-131 c,746.0,11.493,Super Earth,2014,8.25,Earth,0.84,Earth,0.1684,0.069815196,0.0,Transit
Kepler-1320 b,2112.0,15.936,Super Earth,2016,3.53,Earth,1.7,Earth,0.0163,0.0024640656,0.0,Transit
Kepler-1321 b,2509.0,17.5054,Neptune-like,2016,21.5,Earth,0.439,Jupiter,0.0781,0.030390145,0.0,Transit
Kepler-1321 c,2509.0,17.5054,Neptune-like,2016,6.35,Earth,0.214,Jupiter,0.0267,0.006023272,0.0,Transit
Kepler-1321 d,2509.0,17.5054,Neptune-like,2021,7.41,Earth,0.234,Jupiter,0.0501,0.015605749,0.0,Transit
Kepler-1322 b,4405.0,15.876,Super Earth,2016,3.22,Earth,1.61,Earth,0.0183,0.0027378509,0.0,Transit
Kepler-1322 c,4405.0,15.876,Neptune-like,2021,5.29,Earth,2.155,Earth,0.0652,0.01779603,0.0,Transit
Kepler-1323 b,1518.0,12.444,Super Earth,2016,2.92,Earth,1.52,Earth,0.0191,0.0024640656,0.0,Transit
Kepler-1324 b,1571.0,15.554,Super Earth,2016,2.89,Earth,1.51,Earth,0.0466,0.011225188,0.0,Transit
Kepler-1325 b,3175.0,15.311,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.2004,0.09281315,0.0,Transit
Kepler-1326 b,2278.0,12.842,Neptune-like,2016,16.3,Earth,0.373,Jupiter,0.2743,0.11608488,0.0,Transit
Kepler-1327 b,2212.0,13.966,Super Earth,2016,3.89,Earth,1.8,Earth,0.1186,0.040793974,0.0,Transit
Kepler-1328 b,2654.0,13.969,Terrestrial,2016,0.904,Earth,0.98,Earth,0.0529,0.0123203285,0.0,Transit
Kepler-1329 b,1918.0,15.958,Neptune-like,2016,5.35,Earth,2.17,Earth,0.0747,0.025462013,0.0,Transit
Kepler-132 b,1140.0,11.922,Super Earth,2014,1.92,Earth,1.21,Earth,0.067,0.016974675,0.0,Transit
Kepler-132 c,1140.0,11.922,Super Earth,2014,2.18,Earth,1.28,Earth,0.068,0.017522246,0.0,Transit
Kepler-132 d,1140.0,11.922,Super Earth,2014,3.02,Earth,1.55,Earth,0.136,0.049281314,0.0,Transit
Kepler-132 e,1140.0,11.922,Super Earth,2016,1.76,Earth,1.18,Earth,0.4393,0.30198494,0.0,Transit
Kepler-1330 b,5612.0,15.076,Super Earth,2016,3.36,Earth,1.65,Earth,0.0889,0.027652293,0.0,Transit
Kepler-1331 b,1041.0,15.58,Super Earth,2016,1.16,Earth,1.05,Earth,0.0142,0.0021902807,0.0,Transit
Kepler-1332 b,1725.0,13.975,Super Earth,2016,2.45,Earth,1.37,Earth,0.0986,0.032580424,0.0,Transit
Kepler-1333 b,3042.0,15.421,Neptune-like,2016,8.3,Earth,0.251,Jupiter,0.4382,0.30006844,0.0,Transit
Kepler-1334 b,3990.0,15.461,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.1229,0.042710472,0.0,Transit
Kepler-1335 b,2028.0,15.248,Super Earth,2016,2.7,Earth,1.45,Earth,0.0615,0.017248461,0.0,Transit
Kepler-1336 b,3675.0,14.264,Super Earth,2016,4.58,Earth,1.98,Earth,0.1595,0.06351814,0.0,Transit
Kepler-1336 c,3675.0,14.264,Super Earth,2016,3.57,Earth,1.71,Earth,0.0631,0.015879534,0.0,Transit
Kepler-1337 b,1963.0,16.21,Neptune-like,2016,6.39,Earth,0.215,Jupiter,0.1441,0.06680356,0.0,Transit
Kepler-1338 b,2457.0,13.699,Terrestrial,2016,0.721,Earth,0.92,Earth,0.0193,0.0024640656,0.0,Transit
Kepler-1339 b,1210.0,12.344,Terrestrial,2016,0.285,Earth,0.71,Earth,0.0234,0.003559206,0.0,Transit
Kepler-133 b,2132.0,12.896,Super Earth,2014,3.75,Earth,1.76,Earth,0.083,0.022176592,0.0,Transit
Kepler-133 c,2132.0,12.896,Neptune-like,2014,8.45,Earth,0.253,Jupiter,0.204,0.0862423,0.0,Transit
Kepler-1340 b,3203.0,15.003,Super Earth,2016,3.02,Earth,1.55,Earth,0.0153,0.0019164955,0.0,Transit
Kepler-1341 b,1556.0,15.356,Neptune-like,2016,9.22,Earth,0.267,Jupiter,0.4498,0.36413416,0.0,Transit
Kepler-1342 b,2906.0,15.726,Super Earth,2016,3.39,Earth,1.66,Earth,0.0313,0.006023272,0.0,Transit
Kepler-1343 b,5730.0,15.617,Super Earth,2016,4.38,Earth,1.93,Earth,0.0449,0.009308693,0.0,Transit
Kepler-1344 b,2786.0,14.192,Super Earth,2016,4.04,Earth,1.84,Earth,0.0568,0.013141684,0.0,Transit
Kepler-1345 b,4420.0,13.775,Neptune-like,2016,6.17,Earth,0.211,Jupiter,0.2638,0.12210814,0.0,Transit
Kepler-1346 b,2752.0,14.625,Super Earth,2016,3.12,Earth,1.58,Earth,0.044,0.009308693,0.0,Transit
Kepler-1347 b,1047.0,13.557,Super Earth,2016,1.08,Earth,1.03,Earth,0.104,0.03832991,0.0,Transit
Kepler-1348 b,3959.0,14.871,Super Earth,2016,4.42,Earth,1.94,Earth,0.1834,0.07556468,0.0,Transit
Kepler-1349 b,901.0,11.209,Terrestrial,2016,0.271,Earth,0.7,Earth,0.0341,0.0057494864,0.0,Transit
Kepler-134 b,1092.0,12.318,Super Earth,2014,4.66,Earth,2.0,Earth,0.06,0.01451061,0.0,Transit
Kepler-134 c,1092.0,12.318,Super Earth,2014,2.13,Earth,1.26,Earth,0.092,0.027652293,0.0,Transit
Kepler-1350 b,1111.0,16.577,Neptune-like,2016,6.9,Earth,0.225,Jupiter,0.0413,0.0123203285,0.0,Transit
Kepler-1350 c,1111.0,16.577,Super Earth,2016,3.64,Earth,1.73,Earth,0.0222,0.004928131,0.0,Transit
Kepler-1351 b,661.0,14.328,Terrestrial,2016,0.208,Earth,0.65,Earth,0.0156,0.0024640656,0.0,Transit
Kepler-1352 b,2188.0,13.338,Terrestrial,2016,0.64,Earth,0.89,Earth,0.03,0.005201916,0.0,Transit
Kepler-1353 b,1936.0,15.734,Super Earth,2016,3.89,Earth,1.8,Earth,0.153,0.0678987,0.0,Transit
Kepler-1354 b,3652.0,14.59,Neptune-like,2016,9.11,Earth,0.265,Jupiter,0.3521,0.20971936,0.0,Transit
Kepler-1355 b,2973.0,15.595,Super Earth,2016,2.73,Earth,1.46,Earth,0.0224,0.003559206,0.0,Transit
Kepler-1356 b,2757.0,15.887,Super Earth,2016,2.96,Earth,1.53,Earth,0.0136,0.0016427105,0.0,Transit
Kepler-1357 b,3313.0,15.322,Super Earth,2016,2.18,Earth,1.28,Earth,0.041,0.008213553,0.0,Transit
Kepler-1358 b,1784.0,14.693,Super Earth,2016,1.46,Earth,1.12,Earth,0.0656,0.01943874,0.0,Transit
Kepler-1359 b,2006.0,15.987,Neptune-like,2016,8.4,Earth,0.252,Jupiter,0.2769,0.16290212,0.0,Transit
Kepler-135 b,2028.0,12.794,Super Earth,2014,3.93,Earth,1.81,Earth,0.067,0.016427105,0.0,Transit
Kepler-135 c,2028.0,12.794,Super Earth,2014,1.65,Earth,1.16,Earth,0.103,0.031211497,0.0,Transit
Kepler-1360 b,4946.0,14.007,Neptune-like,2016,11.5,Earth,0.303,Jupiter,0.2866,0.11088296,0.0,Transit
Kepler-1361 b,1269.0,14.096,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0431,0.009856262,0.0,Transit
Kepler-1362 b,2385.0,16.05,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.4626,0.37289527,0.0,Transit
Kepler-1363 b,1767.0,15.454,Super Earth,2016,2.1,Earth,1.25,Earth,0.0363,0.007939767,0.0,Transit
Kepler-1364 b,3448.0,13.196,Neptune-like,2016,5.27,Earth,2.15,Earth,0.1284,0.036413416,0.0,Transit
Kepler-1365 b,2740.0,13.417,Terrestrial,2016,0.721,Earth,0.92,Earth,0.075,0.021081451,0.0,Transit
Kepler-1365 c,2740.0,13.417,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0545,0.013141684,0.0,Transit
Kepler-1366 b,1520.0,16.685,Super Earth,2016,2.63,Earth,1.43,Earth,0.0273,0.006023272,0.0,Transit
Kepler-1367 b,1310.0,16.012,Terrestrial,2016,0.721,Earth,0.92,Earth,0.0236,0.0043805614,0.0,Transit
Kepler-1368 b,5336.0,15.914,Super Earth,2016,3.36,Earth,1.65,Earth,0.0153,0.0019164955,0.0,Transit
Kepler-1369 b,4034.0,15.621,Neptune-like,2016,7.7,Earth,0.24,Jupiter,0.1741,0.070910335,0.0,Transit
Kepler-136 b,1373.0,11.822,Super Earth,2014,19.8,Earth,2.05,Earth,0.106,0.03175907,0.0,Transit
Kepler-136 c,1373.0,11.822,Super Earth,2014,4.62,Earth,1.99,Earth,0.133,0.044900753,0.0,Transit
Kepler-1370 b,3275.0,13.718,Super Earth,2016,4.04,Earth,1.84,Earth,0.1495,0.05557837,0.0,Transit
Kepler-1370 c,3275.0,13.718,Super Earth,2016,2.15,Earth,1.27,Earth,0.0767,0.020260096,0.0,Transit
Kepler-1371 b,1681.0,14.018,Terrestrial,2016,0.315,Earth,0.73,Earth,0.0393,0.009308693,0.0,Transit
Kepler-1371 c,1681.0,14.018,Terrestrial,2016,0.196,Earth,0.64,Earth,0.0274,0.0054757018,0.0,Transit
Kepler-1372 b,4251.0,15.667,Super Earth,2016,2.15,Earth,1.27,Earth,0.024,0.003559206,0.0,Transit
Kepler-1373 b,5544.0,14.328,Super Earth,2016,1.65,Earth,1.16,Earth,0.0242,0.003559206,0.0,Transit
Kepler-1374 b,3518.0,15.991,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.0918,0.029295003,0.0,Transit
Kepler-1375 b,4667.0,13.864,Super Earth,2016,3.68,Earth,1.74,Earth,0.0471,0.009034907,0.0,Transit
Kepler-1376 b,2832.0,14.792,Super Earth,2016,1.16,Earth,1.05,Earth,0.0598,0.01451061,0.0,Transit
Kepler-1377 b,3739.0,15.857,Super Earth,2016,2.1,Earth,1.25,Earth,0.0153,0.0019164955,0.0,Transit
Kepler-1378 b,1652.0,16.5497,Neptune-like,2016,5.48,Earth,2.2,Earth,0.0885,0.03285421,0.0,Transit
Kepler-1379 b,3168.0,16.107,Super Earth,2016,2.24,Earth,1.3,Earth,0.0171,0.0024640656,0.0,Transit
Kepler-137 b,988.0,13.063,Super Earth,2014,2.76,Earth,1.47,Earth,0.077,0.022997946,0.0,Transit
Kepler-137 c,988.0,13.063,Super Earth,2014,4.19,Earth,1.88,Earth,0.13,0.051197812,0.0,Transit
Kepler-1380 b,8034.0,15.816,Super Earth,2016,2.63,Earth,1.43,Earth,0.0917,0.028199865,0.0,Transit
Kepler-1381 b,3905.0,15.579,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1728,0.06954141,0.0,Transit
Kepler-1382 b,2408.0,12.857,Super Earth,2016,4.19,Earth,1.88,Earth,0.1404,0.044900753,0.0,Transit
Kepler-1383 b,3351.0,13.832,Super Earth,2016,2.57,Earth,1.41,Earth,0.1179,0.038056124,0.0,Transit
Kepler-1384 b,2016.0,15.7578,Super Earth,2016,4.42,Earth,1.94,Earth,0.1126,0.042162903,0.0,Transit
Kepler-1385 b,2247.0,12.947,Terrestrial,2016,0.543,Earth,0.85,Earth,0.0415,0.007939767,0.0,Transit
Kepler-1386 b,2727.0,14.597,Super Earth,2016,2.07,Earth,1.24,Earth,0.068,0.0183436,0.0,Transit
Kepler-1387 b,1485.0,14.727,Terrestrial,2016,0.749,Earth,0.93,Earth,0.031,0.0062970566,0.0,Transit
Kepler-1388 b,1480.0,16.43,Neptune-like,2016,7.22,Earth,0.231,Jupiter,0.0882,0.033675566,0.0,Transit
Kepler-1388 c,1480.0,16.43,Neptune-like,2016,5.73,Earth,0.202,Jupiter,0.0519,0.015058179,0.0,Transit
Kepler-1388 d,1480.0,16.43,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.126,0.057494868,0.0,Transit
Kepler-1388 e,1480.0,16.43,Neptune-like,2016,6.62,Earth,0.219,Jupiter,0.1861,0.10294318,0.0,Transit
Kepler-1389 b,1622.0,14.896,Super Earth,2016,3.78,Earth,1.77,Earth,0.3869,0.2718686,0.0,Transit
Kepler-138 b,218.0,13.04,Terrestrial,2014,0.07,Earth,0.64,Earth,0.0753,0.028199865,0.02,Transit
Kepler-138 c,218.0,13.04,Super Earth,2014,2.3,Earth,1.51,Earth,0.0913,0.03778234,0.02,Transit
Kepler-138 d,218.0,13.04,Super Earth,2014,2.1,Earth,1.51,Earth,0.1288,0.06324436,0.01,Transit
Kepler-138 e,218.0,13.04,Terrestrial,2022,0.43,Earth,0.797,Earth,0.1803,0.1045859,0.11,Transit Timing Variations
Kepler-1390 b,2360.0,14.558,Super Earth,2016,1.76,Earth,1.18,Earth,0.0662,0.01779603,0.0,Transit
Kepler-1391 b,3387.0,13.906,Super Earth,2016,3.46,Earth,1.68,Earth,0.2768,0.14893909,0.0,Transit
Kepler-1392 b,3644.0,15.963,Super Earth,2016,4.5,Earth,1.96,Earth,0.1189,0.041341547,0.0,Transit
Kepler-1393 b,1776.0,13.476,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0337,0.006570842,0.0,Transit
Kepler-1394 b,2089.0,11.714,Super Earth,2016,2.51,Earth,1.39,Earth,0.0555,0.010677618,0.0,Transit
Kepler-1395 b,1608.0,12.632,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0494,0.010403832,0.0,Transit
Kepler-1396 b,3479.0,14.691,Super Earth,2016,4.94,Earth,2.07,Earth,0.1406,0.049828887,0.0,Transit
Kepler-1397 b,3909.0,14.324,Super Earth,2016,3.61,Earth,1.72,Earth,0.2602,0.12977414,0.0,Transit
Kepler-1398 b,2780.0,13.752,Terrestrial,2016,0.666,Earth,0.9,Earth,0.0392,0.007665982,0.0,Transit
Kepler-1398 c,2780.0,13.752,Super Earth,2016,1.08,Earth,1.03,Earth,0.051,0.011225188,0.0,Transit
Kepler-1399 b,4520.0,15.572,Super Earth,2016,2.1,Earth,1.25,Earth,0.0276,0.0043805614,0.0,Transit
Kepler-139 b,1276.0,12.775,Neptune-like,2014,8.96,Earth,0.262,Jupiter,0.127,0.04325804,0.0,Transit
Kepler-139 c,1276.0,12.775,Neptune-like,2014,11.4,Earth,0.302,Jupiter,0.586,0.4301164,0.0,Transit
Kepler-1400 b,2454.0,16.067,Super Earth,2016,3.26,Earth,1.62,Earth,0.0771,0.024914443,0.0,Transit
Kepler-1401 b,4650.0,15.224,Super Earth,2016,3.46,Earth,1.68,Earth,0.0975,0.030663928,0.0,Transit
Kepler-1402 b,4872.0,14.78,Terrestrial,2016,0.363,Earth,0.76,Earth,0.0322,0.0054757018,0.0,Transit
Kepler-1403 b,7059.0,15.713,Neptune-like,2016,5.22,Earth,2.14,Earth,0.064,0.014236824,0.0,Transit
Kepler-1404 b,3139.0,15.931,Super Earth,2016,4.7,Earth,2.01,Earth,0.1143,0.043531828,0.0,Transit
Kepler-1405 b,4992.0,16.028,Neptune-like,2016,14.9,Earth,0.353,Jupiter,0.1778,0.077207394,0.0,Transit
Kepler-1406 b,1867.0,13.39,Super Earth,2016,1.37,Earth,1.1,Earth,0.0987,0.03175907,0.0,Transit
Kepler-1407 b,4555.0,15.023,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1502,0.0550308,0.0,Transit
Kepler-1408 b,1745.0,12.124,Terrestrial,2016,0.64,Earth,0.89,Earth,0.0425,0.008213553,0.0,Transit
Kepler-1409 b,2267.0,15.391,Super Earth,2016,1.12,Earth,1.04,Earth,0.0152,0.0021902807,0.0,Transit
Kepler-140 b,1905.0,13.018,Super Earth,2014,3.22,Earth,1.61,Earth,0.045,0.009034907,0.0,Transit
Kepler-140 c,1905.0,13.018,Super Earth,2014,3.89,Earth,1.8,Earth,0.414,0.25023958,0.0,Transit
Kepler-1410 b,1197.0,16.319,Super Earth,2016,3.82,Earth,1.78,Earth,0.2543,0.16673511,0.0,Transit
Kepler-1411 b,5416.0,15.945,Neptune-like,2016,8.35,Earth,0.252,Jupiter,0.4001,0.23572895,0.0,Transit
Kepler-1412 b,2465.0,13.347,Terrestrial,2016,0.498,Earth,0.83,Earth,0.0461,0.009856262,0.0,Transit
Kepler-1413 b,3808.0,16.473,Super Earth,2016,3.97,Earth,1.82,Earth,0.1066,0.03613963,0.0,Transit
Kepler-1414 b,1862.0,14.989,Super Earth,2016,2.04,Earth,1.23,Earth,0.0426,0.009582478,0.0,Transit
Kepler-1415 b,3404.0,15.937,Super Earth,2016,2.21,Earth,1.29,Earth,0.0144,0.0016427105,0.0,Transit
Kepler-1416 b,3098.0,14.369,Terrestrial,2016,0.615,Earth,0.88,Earth,0.0257,0.0041067763,0.0,Transit
Kepler-1417 b,3235.0,14.038,Terrestrial,2016,0.972,Earth,1.0,Earth,0.1431,0.055852156,0.0,Transit
Kepler-1418 b,1628.0,15.461,Super Earth,2016,3.39,Earth,1.66,Earth,0.131,0.061601643,0.0,Transit
Kepler-1419 b,4888.0,15.96,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.2391,0.11635866,0.0,Transit
Kepler-141 b,982.0,13.624,Terrestrial,2014,0.257,Earth,0.69,Earth,0.039,0.008487337,0.0,Transit
Kepler-141 c,982.0,13.624,Super Earth,2014,2.57,Earth,1.41,Earth,0.067,0.019164955,0.0,Transit
Kepler-1420 b,3439.0,15.894,Super Earth,2016,2.18,Earth,1.28,Earth,0.0671,0.0183436,0.0,Transit
Kepler-1421 b,2555.0,12.868,Terrestrial,2016,0.749,Earth,0.93,Earth,0.0762,0.01889117,0.0,Transit
Kepler-1422 b,8044.0,15.741,Super Earth,2016,4.74,Earth,2.02,Earth,0.1499,0.050924025,0.0,Transit
Kepler-1423 b,1465.0,14.721,Super Earth,2016,1.2,Earth,1.06,Earth,0.1586,0.06570842,0.0,Transit
Kepler-1424 b,2158.0,13.756,Super Earth,2016,1.65,Earth,1.16,Earth,0.1861,0.08104038,0.0,Transit
Kepler-1425 b,2818.0,13.681,Terrestrial,2016,0.779,Earth,0.94,Earth,0.1038,0.039698835,0.0,Transit
Kepler-1426 b,5538.0,15.464,Super Earth,2016,3.05,Earth,1.56,Earth,0.1187,0.039151266,0.0,Transit
Kepler-1427 b,3980.0,15.601,Super Earth,2016,1.37,Earth,1.1,Earth,0.0197,0.0027378509,0.0,Transit
Kepler-1428 b,4992.0,13.759,Super Earth,2016,3.33,Earth,1.64,Earth,0.1059,0.029295003,0.0,Transit
Kepler-1429 b,3960.0,15.053,Super Earth,2016,2.21,Earth,1.29,Earth,0.055,0.0123203285,0.0,Transit
Kepler-142 b,1790.0,13.277,Super Earth,2014,4.62,Earth,1.99,Earth,0.032,0.0054757018,0.0,Transit
Kepler-142 c,1790.0,13.277,Neptune-like,2014,8.55,Earth,0.255,Jupiter,0.057,0.013141684,0.0,Transit
Kepler-142 d,1790.0,13.277,Neptune-like,2014,5.31,Earth,2.16,Earth,0.242,0.11444216,0.0,Transit
Kepler-1430 b,2856.0,15.567,Super Earth,2016,1.76,Earth,1.18,Earth,0.0304,0.0068446267,0.0,Transit
Kepler-1431 b,5295.0,15.4,Super Earth,2016,2.76,Earth,1.47,Earth,0.0648,0.01615332,0.0,Transit
Kepler-1432 b,7085.0,15.594,Neptune-like,2016,5.56,Earth,2.22,Earth,0.1696,0.065434635,0.0,Transit
Kepler-1433 b,4332.0,15.051,Super Earth,2016,3.05,Earth,1.56,Earth,0.0516,0.011225188,0.0,Transit
Kepler-1434 b,2530.0,12.198,Super Earth,2016,1.41,Earth,1.11,Earth,0.0894,0.022176592,0.0,Transit
Kepler-1435 b,2297.0,12.984,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0546,0.0123203285,0.0,Transit
Kepler-1436 b,8255.0,15.119,Super Earth,2016,2.27,Earth,1.31,Earth,0.0907,0.026557151,0.0,Transit
Kepler-1437 b,6856.0,15.701,Super Earth,2016,2.45,Earth,1.37,Earth,0.0951,0.029842572,0.0,Transit
Kepler-1438 b,3765.0,14.983,Terrestrial,2016,0.779,Earth,0.94,Earth,0.0346,0.0062970566,0.0,Transit
Kepler-1439 b,735.0,17.0484,Super Earth,2016,2.73,Earth,1.46,Earth,0.0594,0.022176592,0.0,Transit
Kepler-143 b,2640.0,13.882,Neptune-like,2014,6.39,Earth,0.215,Jupiter,0.127,0.043805614,0.0,Transit
Kepler-143 c,2640.0,13.882,Neptune-like,2014,11.3,Earth,0.301,Jupiter,0.181,0.07419576,0.0,Transit
Kepler-1440 b,3638.0,14.24,Super Earth,2016,2.13,Earth,1.26,Earth,0.2274,0.10924025,0.0,Transit
Kepler-1441 b,3622.0,14.29,Super Earth,2016,2.27,Earth,1.31,Earth,0.2346,0.107871324,0.0,Transit
Kepler-1442 b,1986.0,12.114,Neptune-like,2016,14.7,Earth,0.351,Jupiter,0.4039,0.22286105,0.0,Transit
Kepler-1443 b,1936.0,12.313,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0368,0.006570842,0.0,Transit
Kepler-1444 b,1043.0,12.363,Neptune-like,2016,5.39,Earth,2.18,Earth,0.2015,0.091444224,0.0,Transit
